Description,Number of Beds,Price (HKD)
Apartment in Shinjuku City,6 single beds,"$387 
$347 HKD
 night
$347 HKD per night, originally $387"
Private room in Sumida City,1 bed,"$327 HKD
 night
$327 HKD per night"
Apartment in Chuo City,2 single beds,"$333 HKD
 night
$333 HKD per night"
Home in Shibuya-ku,6 beds,"$2,084 
$1,478 HKD
 night
$1,478 HKD per night, originally $2,084"
Private room in Koto City,2 small double beds,"$319 
$234 HKD
 night
$234 HKD per night, originally $319"
Home in Ōta-ku,4 beds,"$353 HKD
 night
$353 HKD per night"
Apartment in Itabashi City,2 beds,"$308 HKD
 night
$308 HKD per night"
Home in Taitō-ku,2 beds,"$939 HKD
 night
$939 HKD per night"
Private room in Shinjuku-ku,2 double beds,"$454 HKD
 night
$454 HKD per night"
Home in Taitou-ku,3 beds,"$1,177 HKD
 night
$1,177 HKD per night"
Shared room in Chiyoda City,1 bed,"$182 HKD
 night
$182 HKD per night"
Apartment in Sumida City,4 beds,"$518 HKD
 night
$518 HKD per night"
Home in Toshima-ku,6 beds,"$833 HKD
 night
$833 HKD per night"
Home in Shinjuku City,3 beds,"$2,329 
$1,599 HKD
 night
$1,599 HKD per night, originally $2,329"
Private room in Sumida City,1 bed,"$125 HKD
 night
$125 HKD per night"
Private room in 新宿区,1 single bed,"$356 HKD
 night
$356 HKD per night"
Private room in Taito City,1 floor mattress,"$140 HKD
 night
$140 HKD per night"
Private room in Taito City,1 double bed,"$381 
$294 HKD
 night
$294 HKD per night, originally $381"
Hotel room in 新宿区,4 beds,"$1,168 HKD
 night
$1,168 HKD per night"
Private room in Nakano City,1 bed,"$248 HKD
 night
$248 HKD per night"
Apartment in Chūō-ku,1 double bed,"$1,007 
$720 HKD
 night
$720 HKD per night, originally $1,007"
Apartment in Taitō-ku,8 beds,"$396 
$330 HKD
 night
$330 HKD per night, originally $396"
Condo in Shinjuku City,6 beds,"$1,968 
$1,388 HKD
 night
$1,388 HKD per night, originally $1,968"
Home in Ota City,6 beds,"$613 
$373 HKD
 night
$373 HKD per night, originally $613"
Private room in Kamakura,,"$325 HKD
 night
$325 HKD per night"
Private room in Kamakura,3 beds,"$239 HKD
 night
$239 HKD per night"
Private room in Shinjuku City,1 bed,"$400 
$306 HKD
 night
$306 HKD per night, originally $400"
Apartment in Chuo City,1 bed,"$333 HKD
 night
$333 HKD per night"
Loft in Sumida City,6 beds,"$943 HKD
 night
$943 HKD per night"
Apartment in Sumida City,3 beds,"$817 
$666 HKD
 night
$666 HKD per night, originally $817"
Home in Kōtō-ku,5 beds,"$548 
$345 HKD
 night
$345 HKD per night, originally $548"
Apartment in Taito City,2 beds,"$647 
$418 HKD
 night
$418 HKD per night, originally $647"
Apartment in Ōta-ku,2 beds,"$437 
$359 HKD
 night
$359 HKD per night, originally $437"
Apartment in 中央区,1 double bed,"$768 HKD
 night
$768 HKD per night"
Hotel room in Arakawa-ku,3 beds,"$211 HKD
 night
$211 HKD per night"
Hotel room in Taitō-ku,1 bunk bed,"$186 HKD
 night
$186 HKD per night"
Apartment in Chiyoda-ku,2 beds,"$3,689 
$2,132 HKD
 night
$2,132 HKD per night, originally $3,689"
Shared hotel room in Arakawa City,1 bed,"$97 HKD
 night
$97 HKD per night"
Hotel room in 墨田区石原,4 single beds,"$1,081 HKD
 night
$1,081 HKD per night"
Hotel room in Taito City,1 bed,"$448 
$370 HKD
 night
$370 HKD per night, originally $448"
Hotel room in Taito City,2 small double beds,"$567 
$484 HKD
 night
$484 HKD per night, originally $567"
Hotel room in Arakawa City,1 double bed,"$357 HKD
 night
$357 HKD per night"
Hotel room in Shinjuku City,3 beds,"$1,164 
$811 HKD
 night
$811 HKD per night, originally $1,164"
Hotel room in Meguro City,2 beds,"$582 
$478 HKD
 night
$478 HKD per night, originally $582"
"Private room in 目黒区, 東京都, JP",2 floor mattresses,"$231 HKD
 night
$231 HKD per night"
Condo in Taito City,2 beds,"$312 
$249 HKD
 night
$249 HKD per night, originally $312"
Apartment in Sumida City,6 beds,"$4,658 
$2,276 HKD
 night
$2,276 HKD per night, originally $4,658"
Home in Shinjuku City,4 beds,"$1,558 
$1,344 HKD
 night
$1,344 HKD per night, originally $1,558"
Private room in Sumida City,1 bed,"$461 HKD
 night
$461 HKD per night"
Hotel room in Meguro City,3 beds,"$745 
$501 HKD
 night
$501 HKD per night, originally $745"
Apartment in Shinjuku City,11 beds,"$1,145 HKD
 night
$1,145 HKD per night"
Hotel room in Taito City,3 beds,"$893 
$558 HKD
 night
$558 HKD per night, originally $893"
Apartment in 墨田区,2 beds,"$733 
$442 HKD
 night
$442 HKD per night, originally $733"
Villa in Minamitsuru District,6 single beds,"$1,085 
$626 HKD
 night
$626 HKD per night, originally $1,085"
Apartment in Shinjuku-ku,2 beds,"$2,595 HKD
 night
$2,595 HKD per night"
Hotel room in 中央区,1 single bed,"$216 HKD
 night
$216 HKD per night"
Hotel room in Edogawa City,1 bunk bed,"$218 HKD
 night
$218 HKD per night"
Apartment in Suginami City,2 beds,"$522 HKD
 night
$522 HKD per night"
Home in Adachi City,5 beds,"$1,776 
$1,172 HKD
 night
$1,172 HKD per night, originally $1,776"
Apartment in Shinjuku-ku,1 bed,"$376 
$327 HKD
 night
$327 HKD per night, originally $376"
Villa in Shinjuku-ku,6 beds,"$1,292 HKD
 night
$1,292 HKD per night"
Home in Sumida City,6 beds,"$1,630 
$1,167 HKD
 night
$1,167 HKD per night, originally $1,630"
Apartment in Sumida-City,1 double bed,"$514 
$333 HKD
 night
$333 HKD per night, originally $514"
Hotel room in Shinjuku City,6 floor mattresses,"$905 
$757 HKD
 night
$757 HKD per night, originally $905"
Cabin in いすみ市,3 beds,"$1,778 HKD
 night
$1,778 HKD per night"
Home in Taitō-ku,6 beds,"$694 HKD
 night
$694 HKD per night"
Condo in Taito City,1 king bed,"$292 HKD
 night
$292 HKD per night"
Shared room in Sumida-ku,1 single bed,"$100 HKD
 night
$100 HKD per night"
Apartment in Shinjuku City,1 bed,"$658 
$477 HKD
 night
$477 HKD per night, originally $658"
Apartment in Itabashi City,2 beds,"$310 
$276 HKD
 night
$276 HKD per night, originally $310"
Home in Shibuya-ku,8 beds,"$1,269 HKD
 night
$1,269 HKD per night"
Hotel room in Arakawa City,1 small double bed,"$477 
$285 HKD
 night
$285 HKD per night, originally $477"
Apartment in Chuo City,1 bed,"$333 HKD
 night
$333 HKD per night"
Private room in Sumida City,1 small double bed,"$91 HKD
 night
$91 HKD per night"
Apartment in Edogawa City,3 beds,"$342 HKD
 night
$342 HKD per night"
Hotel room in Setagaya City,3 double beds,"$2,397 
$1,394 HKD
 night
$1,394 HKD per night, originally $2,397"
Private room in 目黒区柿の木坂2-17-6,1 double bed,"$264 HKD
 night
$264 HKD per night"
Apartment in Shinjuku City,3 beds,"$986 
$407 HKD
 night
$407 HKD per night, originally $986"
Villa in Kamakura,2 double beds,"$10,953 HKD
 night
$10,953 HKD per night"
Apartment in Shinjuku City,2 beds,"$707 HKD
 night
$707 HKD per night"
Home in Koto City,4 beds,"$1,304 
$781 HKD
 night
$781 HKD per night, originally $1,304"
Apartment in Chuo City,3 beds,"$1,992 HKD
 night
$1,992 HKD per night"
Apartment in Shinjuku City,4 beds,"$1,153 HKD
 night
$1,153 HKD per night"
Shared room in Taitō-ku,12 single beds,"$145 HKD
 night
$145 HKD per night"
Home in Sumida-ku,7 beds,"$1,000 
$663 HKD
 night
$663 HKD per night, originally $1,000"
Apartment in Kamagaya,1 small double bed,"$261 HKD
 night
$261 HKD per night"
