Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Chuo,1.0,Hotel Room,987.0
Hotel,Minato,1.0,Hotel Room,932.0
Hotel,Adachi,1.0,Hotel Room,665.0
Hotel,Chiyoda,1.0,Hotel Room,683.0
Hotel,Taito,2.0,Hotel Room,1452.0
Hotel,Minato,1.0,Dormitory,270.0
Hotel,Shibuya,1.0,Dormitory,303.0
Hotel,Shinjuku,1.0,Hotel Room,1024.0
Hotel,Chiyoda,1.0,Hotel Room,5583.0
Hotel,Chiyoda,1.0,Dormitory,346.0
Hotel,Minato,1.0,Hotel Room,1125.0
Hotel,Taito,1.0,Hotel Room,753.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,789.0
Hotel,Minato,1.0,Hotel Room,8428.0
Hotel,Koto,1.0,Hotel Room,396.0
Hotel,Shibuya,1.0,Hotel Room,811.0
Hotel,Ota,1.0,Hotel Room,696.0
Hotel,Ota,1.0,Hotel Room,584.0
Hotel,Taito,1.0,Hotel Room,512.0
Hotel,Chuo,1.0,Hotel Room,967.0
Hotel,Taito,1.0,Hotel Room,944.0
Hotel,Chiyoda,1.0,Hotel Room,904.0
Hotel,Ota,1.0,Hotel Room,649.0
Hotel,Taito,1.0,Hotel Room,565.0
Hotel,Ota,1.0,Hotel Room,538.0
Hotel,Chiyoda,1.0,Hotel Room,3748.0
Hotel,Chiyoda,1.0,Hotel Room,3032.0
Hotel,Shinagawa,1.0,Hotel Room,811.0
Hotel,Meguro,2.0,Hotel Room,833.0
Hotel,Chiyoda,1.0,Dormitory,433.0
Hotel,Shinjuku,1.0,Dormitory,433.0
Hotel,Chuo,1.0,Hotel Room,682.0
Hotel,Toshima,1.0,Hotel Room,882.0
Hotel,(outside tokyo),2.0,Hotel Room,1332.0
Hotel,Minato,1.0,Hotel Room,4993.0
Hotel,Chuo,1.0,Hotel Room,1418.0
Hotel,Minato,1.0,Hotel Room,771.0
Hotel,Chuo,1.0,Hotel Room,2278.0
Hotel,Taito,1.0,Dormitory,262.0
Hotel,Sumida,1.0,Hotel Room,909.0
Hotel,Shinjuku,1.0,Hotel Room,849.0
Hotel,Chuo,3.0,Hotel Room,1801.0
Hotel,Chuo,1.0,Hotel Room,1240.0
Hotel,Chiyoda,1.0,Hotel Room,666.0
Hotel,Minato,1.0,Hotel Room,6122.0
Hotel,Shinjuku,1.0,Hotel Room,1412.0
Hotel,Chiyoda,1.0,Hotel Room,1002.0
Hotel,Taito,1.0,Dormitory,194.0
Hotel,Bunkyo,1.0,Hotel Room,1109.0
Hotel,Meguro,1.0,Hotel Room,1412.0
Hotel,Shinjuku,1.0,Dormitory,346.0
Hotel,Shinagawa,1.0,Hotel Room,1028.0
Hotel,Minato,1.0,Hotel Room,595.0
Hotel,Koto,1.0,Hotel Room,1082.0
Hotel,Taito,2.0,Hotel Room,811.0
Hotel,Edogawa,1.0,Hotel Room,810.0
Hotel,Taito,1.0,Hotel Room,768.0
Hotel,Shinagawa,1.0,Hotel Room,865.0
Hotel,Minato,1.0,Hotel Room,2619.0
Hotel,Shinjuku,1.0,Hotel Room,682.0
Hotel,Shinjuku,1.0,Hotel Room,893.0
Hotel,Chuo,1.0,Hotel Room,503.0
